instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_reason
assembly_1,2,0.8,adaptive,1,343,1105,31,2.81,31,0.283,0.014,0.031,0.045,0.8423,0.8329,1.12,,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,
assembly_1,2,0.8,adaptive,2,343,1105,36,3.26,5,0.283,0.015,0.045,0.059,0.8423,0.8329,1.12,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,
assembly_1,2,0.8,adaptive,3,343,1105,42,3.8,6,0.283,0.023,0.046,0.069,0.8423,0.8329,1.12,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,
assembly_1,2,0.8,adaptive,4,343,1105,45,4.07,3,0.283,0.029,0.076,0.105,0.8423,0.8329,1.12,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,
assembly_1,2,0.8,adaptive,6,343,1105,52,4.71,7,0.283,0.069,0.087,0.156,0.8423,0.8329,1.12,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,
assembly_1,2,0.8,adaptive,8,343,1105,61,5.52,9,0.283,0.058,0.122,0.18,0.8423,0.8329,1.12,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,
assembly_1,2,0.8,adaptive,12,343,1105,71,6.43,10,0.283,0.107,0.22,0.327,0.8423,0.8329,1.12,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,
assembly_1,2,0.8,adaptive,16,343,1105,82,7.42,11,0.283,0.112,0.456,0.569,0.8423,0.8329,1.12,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,
assembly_1,2,0.8,adaptive,24,343,1105,93,8.42,11,0.283,0.137,0.388,0.526,0.8423,0.8329,1.12,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,
assembly_1,2,0.8,adaptive,32,343,1105,109,9.86,16,0.283,0.24,0.489,0.729,0.8423,0.8329,1.12,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,
assembly_1,2,0.8,adaptive,48,343,1105,237,21.45,128,0.283,0.22,0.348,0.568,0.8423,0.8329,1.12,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,stop_perc_graph
