instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_perc_graph,stop_reason
assembly_1,4,0.1,adaptive,1,343,1105,37,3.35,37,0.231,0.01,0.17,0.179,0.8399,0.8329,0.83,,0.8329,0.8329,0.0,584.04,539.212,8.31,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,10.0,
assembly_1,4,0.1,adaptive,2,343,1105,43,3.89,6,0.231,0.016,0.482,0.498,0.8399,0.8329,0.83,0.0,0.8329,0.8329,0.0,584.04,539.212,8.31,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,10.0,
assembly_1,4,0.1,adaptive,3,343,1105,49,4.43,6,0.231,0.021,0.344,0.365,0.8399,0.8329,0.83,0.0,0.8329,0.8329,0.0,584.04,539.212,8.31,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,10.0,
assembly_1,4,0.1,adaptive,4,343,1105,55,4.98,6,0.231,0.037,0.444,0.48,0.8399,0.8329,0.83,-0.0,0.8329,0.8329,0.0,584.04,539.212,8.31,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,10.0,
assembly_1,4,0.1,adaptive,6,343,1105,66,5.97,11,0.231,0.05,0.497,0.547,0.8399,0.8329,0.83,0.0,0.8329,0.8329,0.0,584.04,539.212,8.31,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,10.0,
assembly_1,4,0.1,adaptive,8,343,1105,72,6.52,6,0.231,0.074,0.604,0.678,0.8399,0.8329,0.83,0.0,0.8329,0.8329,0.0,584.04,539.212,8.31,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,10.0,
assembly_1,4,0.1,adaptive,12,343,1105,79,7.15,7,0.231,0.092,0.656,0.748,0.8399,0.8329,0.83,-0.0,0.8329,0.8329,0.0,584.04,539.212,8.31,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,10.0,
assembly_1,4,0.1,adaptive,16,343,1105,90,8.14,11,0.231,0.106,1.963,2.069,0.8399,0.8329,0.83,-0.0,0.8329,0.8329,0.0,584.04,539.212,8.31,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,10.0,
assembly_1,4,0.1,adaptive,24,343,1105,119,10.77,29,0.231,0.134,0.627,0.761,0.8399,0.8329,0.83,0.0,0.8329,0.8329,0.0,584.04,539.212,8.31,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,10.0,stop_perc_graph
assembly_1,4,0.2,adaptive,1,343,1105,37,3.35,37,0.251,0.015,0.208,0.222,0.8468,0.8329,1.66,,0.8329,0.8329,0.0,584.04,539.212,8.31,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,10.0,
