instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_perc_graph,stop_reason
assembly_2,3,0.2,adaptive,1,22160,134216,41,0.03,41,195.311,1.151,0.073,1.224,1.0267,1.0126,1.39,,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.2,adaptive,2,22160,134216,61,0.05,20,195.311,1.737,0.194,1.931,1.0267,1.0126,1.39,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.2,adaptive,3,22160,134216,65,0.05,4,195.311,2.216,0.239,2.455,1.0267,1.0126,1.39,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.2,adaptive,4,22160,134216,68,0.05,3,195.311,2.694,0.299,2.993,1.0267,1.0126,1.39,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.2,adaptive,6,22160,134216,76,0.06,8,195.311,3.544,0.654,4.197,1.0267,1.0126,1.39,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.2,adaptive,8,22160,134216,87,0.06,11,195.311,4.327,0.373,4.701,1.0267,1.0126,1.39,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.2,adaptive,12,22160,134216,99,0.07,12,195.311,6.049,0.909,6.958,1.0267,1.0126,1.39,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.2,adaptive,16,22160,134216,109,0.08,10,195.311,7.791,0.299,8.089,1.0267,1.0126,1.39,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.2,adaptive,24,22160,134216,133,0.1,24,195.311,10.709,0.458,11.167,1.0267,1.0126,1.39,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.2,adaptive,32,22160,134216,154,0.11,21,195.311,13.56,0.324,13.884,1.0229,1.0126,1.01,0.3717,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.2,adaptive,48,22160,134216,190,0.14,36,195.311,18.649,0.43,19.079,1.0229,1.0126,1.01,-0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.2,adaptive,64,22160,134216,402,0.3,212,195.311,19.433,0.627,20.06,1.0229,1.0126,1.01,0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.2,adaptive,96,22160,134216,787,0.59,385,195.311,20.761,1.554,22.315,1.0229,1.0126,1.01,-0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.2,adaptive,128,22160,134216,1158,0.86,371,195.311,22.399,3.901,26.3,1.0229,1.0126,1.01,0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.2,adaptive,192,22160,134216,1869,1.39,711,195.311,26.364,4.816,31.18,1.0229,1.0126,1.01,0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.2,adaptive,256,22160,134216,2519,1.88,650,195.311,30.863,9.006,39.869,1.0229,1.0126,1.01,0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.2,adaptive,512,22160,134216,4888,3.64,2369,195.311,46.91,9.878,56.788,1.0229,1.0126,1.01,0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,stop_perc_graph
