instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,full_solve_s,speedup_vs_full,objective,obj_vs_full_pct,d_obj_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_reason
assembly_1,3,0.0,full_ref,,343,1105,1105,100.0,,0.115,0.0,0.137,0.137,0.137,1.0,0.8329,0.0,,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[0.0, 0.0, 2156.85]","[0, 0, 13]",13,full_ref
assembly_1,3,0.0,bl_union,1,343,1105,37,3.35,37,0.115,0.007,0.006,0.013,0.137,10.74,0.8329,-0.0,,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[2156.85, 0.0, 0.0]",[13],13,
assembly_1,3,0.0,bl_union,2,343,1105,42,3.8,5,0.115,0.01,0.007,0.017,0.137,7.96,0.8329,0.0,-0.0,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[0.0, 0.0, 2156.85]","[0, 0, 13]",13,
assembly_1,3,0.0,bl_union,3,343,1105,48,4.34,6,0.115,0.015,0.007,0.022,0.137,6.24,0.8329,0.0,0.0,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[0.0, 0.0, 2156.85]","[0, 0, 13]",13,
assembly_1,3,0.0,bl_union,4,343,1105,54,4.89,6,0.115,0.019,0.008,0.027,0.137,5.13,0.8329,0.0,0.0,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[0.0, 0.0, 2156.85]","[0, 0, 13]",13,
assembly_1,3,0.0,bl_union,6,343,1105,64,5.79,10,0.115,0.027,0.01,0.037,0.137,3.7,0.8329,0.0,0.0,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[0.0, 0.0, 2156.85]","[0, 0, 13]",13,
assembly_1,3,0.0,bl_union,8,343,1105,73,6.61,9,0.115,0.036,0.011,0.047,0.137,2.91,0.8329,0.0,0.0,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[0.0, 0.0, 2156.85]","[0, 0, 13]",13,
assembly_1,3,0.0,bl_union,12,343,1105,83,7.51,10,0.115,0.053,0.013,0.065,0.137,2.1,0.8329,0.0,0.0,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[0.0, 0.0, 2156.85]","[0, 0, 13]",13,
assembly_1,3,0.0,bl_union,16,343,1105,89,8.05,6,0.115,0.07,0.013,0.083,0.137,1.66,0.8329,0.0,0.0,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[0.0, 0.0, 2156.85]","[0, 0, 13]",13,
assembly_1,3,0.0,bl_union,24,343,1105,110,9.95,21,0.115,0.102,0.013,0.115,0.137,1.19,0.8329,0.0,0.0,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[0.0, 0.0, 2156.85]","[0, 0, 13]",13,
assembly_1,3,0.0,bl_union,32,343,1105,134,12.13,24,0.115,0.134,0.015,0.15,0.137,0.92,0.8329,0.0,0.0,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[0.0, 0.0, 2156.85]","[0, 0, 13]",13,stop_perc_graph
assembly_1,3,0.0,adaptive,1,343,1105,37,3.35,37,0.115,0.006,0.006,0.012,0.137,11.31,0.8329,-0.0,,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[2156.85, 0.0, 0.0]",[13],13,
assembly_1,3,0.0,adaptive,2,343,1105,42,3.8,5,0.115,0.011,0.007,0.018,0.137,7.76,0.8329,0.0,-0.0,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[0.0, 0.0, 2156.85]","[0, 0, 13]",13,
assembly_1,3,0.0,adaptive,3,343,1105,48,4.34,6,0.115,0.015,0.008,0.023,0.137,5.93,0.8329,0.0,0.0,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[0.0, 0.0, 2156.85]","[0, 0, 13]",13,
assembly_1,3,0.0,adaptive,4,343,1105,54,4.89,6,0.115,0.02,0.009,0.029,0.137,4.81,0.8329,0.0,0.0,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[0.0, 0.0, 2156.85]","[0, 0, 13]",13,
assembly_1,3,0.0,adaptive,6,343,1105,64,5.79,10,0.115,0.029,0.01,0.038,0.137,3.57,0.8329,0.0,0.0,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[0.0, 0.0, 2156.85]","[0, 0, 13]",13,
assembly_1,3,0.0,adaptive,8,343,1105,73,6.61,9,0.115,0.037,0.011,0.048,0.137,2.85,0.8329,0.0,0.0,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[0.0, 0.0, 2156.85]","[0, 0, 13]",13,
assembly_1,3,0.0,adaptive,12,343,1105,83,7.51,10,0.115,0.054,0.013,0.067,0.137,2.05,0.8329,0.0,0.0,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[0.0, 0.0, 2156.85]","[0, 0, 13]",13,
assembly_1,3,0.0,adaptive,16,343,1105,89,8.05,6,0.115,0.071,0.013,0.085,0.137,1.62,0.8329,0.0,0.0,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[0.0, 0.0, 2156.85]","[0, 0, 13]",13,
assembly_1,3,0.0,adaptive,24,343,1105,152,13.76,63,0.115,0.08,0.015,0.095,0.137,1.44,0.8329,0.0,0.0,2156.85,0.0,0.0,2156.85,1016.749,300.0,"[0.0, 0.0, 2156.85]","[0, 0, 13]",13,stop_perc_graph
assembly_1,3,0.1,full_ref,,343,1105,1105,100.0,,0.118,0.0,2.979,2.979,2.979,1.0,0.8412,0.0,,788.33,0.0,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,full_ref
assembly_1,3,0.1,bl_union,1,343,1105,37,3.35,37,0.118,0.007,0.064,0.07,2.979,42.26,0.8414,0.03,,792,0.47,584.04,792,95.505,28.93,"[584.04, 792, 780.81]","[3, 5, 5]",13,
assembly_1,3,0.1,bl_union,2,343,1105,42,3.8,5,0.118,0.011,0.186,0.197,2.979,15.09,0.8412,-0.0,0.0259,788.33,0.0,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,
assembly_1,3,0.1,bl_union,3,343,1105,48,4.34,6,0.118,0.016,0.289,0.304,2.979,9.78,0.8412,-0.0,0.0,788.33,0.0,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,
assembly_1,3,0.1,bl_union,4,343,1105,54,4.89,6,0.118,0.02,0.211,0.231,2.979,12.9,0.8412,-0.0,0.0,788.33,0.0,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,
assembly_1,3,0.1,bl_union,6,343,1105,64,5.79,10,0.118,0.028,0.355,0.383,2.979,7.78,0.8412,-0.0,0.0,788.33,0.0,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,
assembly_1,3,0.1,bl_union,8,343,1105,73,6.61,9,0.118,0.037,0.264,0.301,2.979,9.9,0.8412,0.0,-0.0,788.33,0.0,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,
assembly_1,3,0.1,bl_union,12,343,1105,83,7.51,10,0.118,0.053,0.454,0.508,2.979,5.87,0.8412,-0.0,0.0,788.33,0.0,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,
assembly_1,3,0.1,bl_union,16,343,1105,89,8.05,6,0.118,0.07,0.435,0.505,2.979,5.9,0.8412,0.0,-0.0,788.33,0.0,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,
assembly_1,3,0.1,bl_union,24,343,1105,110,9.95,21,0.118,0.103,0.503,0.605,2.979,4.92,0.8412,-0.0,0.0,788.33,0.0,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,
assembly_1,3,0.1,bl_union,32,343,1105,134,12.13,24,0.118,0.134,0.418,0.552,2.979,5.39,0.8412,0.0,-0.0,788.33,0.0,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,stop_perc_graph
assembly_1,3,0.1,adaptive,1,343,1105,37,3.35,37,0.118,0.007,0.063,0.069,2.979,43.11,0.8414,0.03,,792,0.47,584.04,792,95.505,28.93,"[584.04, 792, 780.81]","[3, 5, 5]",13,
assembly_1,3,0.1,adaptive,2,343,1105,42,3.8,5,0.118,0.011,0.186,0.197,2.979,15.13,0.8412,-0.0,0.0259,788.33,0.0,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,
assembly_1,3,0.1,adaptive,3,343,1105,48,4.34,6,0.118,0.015,0.284,0.299,2.979,9.96,0.8412,-0.0,0.0,788.33,0.0,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,
assembly_1,3,0.1,adaptive,4,343,1105,54,4.89,6,0.118,0.02,0.219,0.239,2.979,12.47,0.8412,0.0,-0.0,788.33,0.0,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,
assembly_1,3,0.1,adaptive,6,343,1105,64,5.79,10,0.118,0.028,0.353,0.381,2.979,7.81,0.8412,-0.0,0.0,788.33,0.0,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,
assembly_1,3,0.1,adaptive,8,343,1105,73,6.61,9,0.118,0.037,0.265,0.302,2.979,9.86,0.8412,0.0,-0.0,788.33,0.0,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,
assembly_1,3,0.1,adaptive,12,343,1105,83,7.51,10,0.118,0.054,0.451,0.505,2.979,5.9,0.8412,-0.0,0.0,788.33,0.0,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,
