instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,full_solve_s,speedup_vs_full,objective,obj_vs_full_pct,d_obj_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_reason
assembly_1,5,0.1,full_ref,,343,1105,1105,100.0,,0.296,0.0,12.788,12.788,12.788,1.0,0.8452,0.0,,487.31,0.0,339.12,487.31,56.09,34.35,"[339.12, 486.92, 442, 487.31, 401.5]","[2, 2, 3, 4, 2]",13,full_ref
assembly_1,5,0.1,bl_union,1,343,1105,35,3.17,35,0.296,0.01,0.632,0.643,12.788,19.9,0.8453,0.02,,495.7,1.72,339.12,495.7,58.841,36.3,"[339.12, 486.92, 442, 393.11, 495.7]","[2, 2, 3, 3, 3]",13,
assembly_1,5,0.1,bl_union,2,343,1105,40,3.62,5,0.296,0.03,0.49,0.52,12.788,24.59,0.8453,0.02,-0.0,495.7,1.72,339.12,495.7,58.841,36.3,"[339.12, 486.92, 442, 393.11, 495.7]","[2, 2, 3, 3, 3]",13,
assembly_1,5,0.1,bl_union,3,343,1105,46,4.16,6,0.296,0.025,1.124,1.149,12.788,11.13,0.8453,0.02,0.0,495.7,1.72,339.12,495.7,58.841,36.3,"[339.12, 486.92, 442, 393.11, 495.7]","[2, 2, 3, 3, 3]",13,
assembly_1,5,0.1,bl_union,4,343,1105,50,4.52,4,0.296,0.028,0.952,0.98,12.788,13.05,0.8453,0.02,-0.0,495.7,1.72,339.12,495.7,58.841,36.3,"[339.12, 486.92, 442, 393.11, 495.7]","[2, 2, 3, 3, 3]",13,
assembly_1,5,0.1,bl_union,6,343,1105,56,5.07,6,0.296,0.045,1.151,1.196,12.788,10.69,0.8453,0.02,0.0,495.7,1.72,339.12,495.7,58.841,36.3,"[339.12, 486.92, 442, 393.11, 495.7]","[2, 2, 3, 3, 3]",13,
assembly_1,5,0.1,bl_union,8,343,1105,62,5.61,6,0.296,0.05,0.798,0.848,12.788,15.08,0.8453,0.02,-0.0,495.7,1.72,339.12,495.7,58.841,36.3,"[339.12, 486.92, 442, 393.11, 495.7]","[2, 2, 3, 3, 3]",13,
assembly_1,5,0.1,bl_union,12,343,1105,67,6.06,5,0.296,0.08,1.83,1.91,12.788,6.69,0.8453,0.02,0.0,495.7,1.72,339.12,495.7,58.841,36.3,"[339.12, 486.92, 442, 393.11, 495.7]","[2, 2, 3, 3, 3]",13,
assembly_1,5,0.1,bl_union,16,343,1105,82,7.42,15,0.296,0.134,2.759,2.893,12.788,4.42,0.8452,-0.0,0.0204,487.31,0.0,339.12,487.31,56.09,34.35,"[339.12, 486.92, 442, 487.31, 401.5]","[2, 2, 3, 4, 2]",13,
assembly_1,5,0.1,bl_union,24,343,1105,91,8.24,9,0.296,0.219,2.028,2.247,12.788,5.69,0.8452,-0.0,0.0,487.31,0.0,339.12,487.31,56.09,34.35,"[339.12, 486.92, 442, 487.31, 401.5]","[2, 2, 3, 4, 2]",13,
assembly_1,5,0.1,bl_union,32,343,1105,98,8.87,7,0.296,0.312,1.857,2.17,12.788,5.89,0.8452,0.0,-0.0,487.31,0.0,339.12,487.31,56.09,34.35,"[339.12, 486.92, 442, 487.31, 401.5]","[2, 2, 3, 4, 2]",13,
assembly_1,5,0.1,bl_union,48,343,1105,114,10.32,16,0.296,0.43,4.15,4.58,12.788,2.79,0.8452,0.0,0.0,487.31,0.0,339.12,487.31,56.09,34.35,"[339.12, 486.92, 442, 487.31, 401.5]","[2, 2, 3, 4, 2]",13,stop_perc_graph
assembly_1,5,0.1,diverse,1,343,1105,13,1.18,13,0.296,0.004,0.147,0.152,12.788,84.38,0.8742,3.43,,460.63,-5.47,401.5,460.63,22.104,13.71,"[436.68, 410.92, 460.63, 401.5, 447.12]","[3, 2, 3, 2, 3]",13,
assembly_1,5,0.1,diverse,2,343,1105,26,2.35,13,0.296,0.005,0.489,0.493,12.788,25.92,0.8742,3.43,-0.0,460.63,-5.47,401.5,460.63,22.104,13.71,"[436.68, 410.92, 460.63, 401.5, 447.12]","[3, 2, 3, 2, 3]",13,
assembly_1,5,0.1,diverse,3,343,1105,39,3.53,13,0.296,0.005,0.424,0.429,12.788,29.78,0.8742,3.43,0.0,460.63,-5.47,401.5,460.63,22.104,13.71,"[436.68, 410.92, 460.63, 401.5, 447.12]","[3, 2, 3, 2, 3]",13,
assembly_1,5,0.1,diverse,4,343,1105,52,4.71,13,0.296,0.007,0.885,0.892,12.788,14.33,0.8742,3.43,0.0,460.63,-5.47,401.5,460.63,22.104,13.71,"[436.68, 410.92, 460.63, 401.5, 447.12]","[3, 2, 3, 2, 3]",13,
assembly_1,5,0.1,diverse,6,343,1105,78,7.06,26,0.296,0.007,0.855,0.862,12.788,14.83,0.8742,3.43,-0.0,460.63,-5.47,401.5,460.63,22.104,13.71,"[436.68, 410.92, 460.63, 401.5, 447.12]","[3, 2, 3, 2, 3]",13,
assembly_1,5,0.1,diverse,8,343,1105,102,9.23,24,0.296,0.012,1.481,1.493,12.788,8.57,0.868,2.7,0.7047,502.2,3.06,352.92,502.2,65.641,34.61,"[502.2, 354.92, 352.92, 451.11, 495.7]","[3, 2, 2, 3, 3]",13,
