instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,full_solve_s,speedup_vs_full,objective,obj_vs_full_pct,d_obj_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_reason
assembly_2,3,0.7,full_ref,,22160,134216,134216,100.0,,195.925,0.0,11462.439,11462.439,11462.439,1.0,1.0351,0.0,,918,0.0,864,918,23.3,6.02,"[864, 907, 918]","[4, 6, 7]",17,full_ref
assembly_2,3,0.7,bl_union,1,22160,134216,41,0.03,41,195.925,1.075,0.193,1.268,11462.439,9040.51,1.048,1.25,,939,2.29,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.7,bl_union,2,22160,134216,61,0.05,20,195.925,1.557,0.078,1.635,11462.439,7009.74,1.048,1.25,0.0,939,2.29,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.7,bl_union,3,22160,134216,65,0.05,4,195.925,1.987,0.132,2.118,11462.439,5410.82,1.048,1.25,0.0,939,2.29,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.7,bl_union,4,22160,134216,68,0.05,3,195.925,2.316,0.141,2.457,11462.439,4665.84,1.048,1.25,0.0,939,2.29,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.7,bl_union,6,22160,134216,76,0.06,8,195.925,2.94,0.175,3.115,11462.439,3679.52,1.048,1.25,0.0,939,2.29,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.7,bl_union,8,22160,134216,87,0.06,11,195.925,3.736,0.168,3.904,11462.439,2936.29,1.048,1.25,0.0,939,2.29,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.7,bl_union,12,22160,134216,99,0.07,12,195.925,5.065,0.167,5.233,11462.439,2190.48,1.048,1.25,0.0,939,2.29,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.7,bl_union,16,22160,134216,109,0.08,10,195.925,6.581,0.213,6.793,11462.439,1687.28,1.048,1.25,0.0,939,2.29,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.7,bl_union,24,22160,134216,133,0.1,24,195.925,9.724,0.27,9.994,11462.439,1146.92,1.048,1.25,-0.0,939,2.29,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.7,bl_union,32,22160,134216,154,0.11,21,195.925,12.484,0.228,12.711,11462.439,901.75,1.0466,1.11,0.1365,939,2.29,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.7,bl_union,48,22160,134216,163,0.12,9,195.925,18.625,0.276,18.901,11462.439,606.45,1.0466,1.11,-0.0,939,2.29,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.7,bl_union,64,22160,134216,174,0.13,11,195.925,23.405,0.539,23.944,11462.439,478.72,1.0466,1.11,0.0,939,2.29,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.7,bl_union,96,22160,134216,197,0.15,23,195.925,36.337,0.339,36.676,11462.439,312.53,1.0466,1.11,0.0,939,2.29,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.7,bl_union,128,22160,134216,223,0.17,26,195.925,48.072,0.427,48.499,11462.439,236.34,1.0466,1.11,-0.0,939,2.29,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.7,bl_union,192,22160,134216,252,0.19,29,195.925,63.803,0.595,64.398,11462.439,177.99,1.0466,1.11,0.0,939,2.29,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.7,bl_union,256,22160,134216,269,0.2,17,195.925,88.292,0.794,89.086,11462.439,128.67,1.0466,1.11,0.0,939,2.29,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.7,bl_union,384,22160,134216,280,0.21,11,195.925,136.129,0.519,136.648,11462.439,83.88,1.0466,1.11,0.0,939,2.29,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.7,bl_union,512,22160,134216,299,0.22,19,195.925,177.907,0.681,178.588,11462.439,64.18,1.0466,1.11,0.0,939,2.29,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.7,bl_union,768,22160,134216,368,0.27,69,195.925,256.202,1.376,257.578,11462.439,44.5,1.0466,1.11,0.0,939,2.29,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.7,bl_union,1024,22160,134216,389,0.29,21,195.925,342.048,1.126,343.174,11462.439,33.4,1.0466,1.11,0.0,939,2.29,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.7,bl_union,1536,22160,134216,402,0.3,13,195.925,532.642,0.826,533.468,11462.439,21.49,1.0466,1.11,0.0,939,2.29,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.7,bl_union,2048,22160,134216,430,0.32,28,195.925,683.921,0.812,684.734,11462.439,16.74,1.0466,1.11,0.0,939,2.29,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.7,bl_union,4096,22160,134216,522,0.39,92,195.925,1302.295,3.294,1305.588,11462.439,8.78,1.0368,0.16,0.9398,922,0.44,864,922,24.143,6.47,"[864, 922, 903]","[4, 6, 7]",17,
assembly_2,3,0.7,adaptive,1,22160,134216,41,0.03,41,195.925,1.117,0.189,1.306,11462.439,8776.29,1.048,1.25,,939,2.29,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.7,adaptive,2,22160,134216,61,0.05,20,195.925,1.443,0.076,1.519,11462.439,7547.26,1.048,1.25,0.0,939,2.29,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.7,adaptive,3,22160,134216,65,0.05,4,195.925,1.782,0.127,1.909,11462.439,6005.37,1.048,1.25,0.0,939,2.29,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.7,adaptive,4,22160,134216,68,0.05,3,195.925,2.1,0.135,2.235,11462.439,5127.89,1.048,1.25,0.0,939,2.29,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.7,adaptive,6,22160,134216,76,0.06,8,195.925,2.661,0.169,2.83,11462.439,4049.96,1.048,1.25,0.0,939,2.29,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.7,adaptive,8,22160,134216,87,0.06,11,195.925,3.43,0.164,3.594,11462.439,3189.47,1.048,1.25,0.0,939,2.29,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.7,adaptive,12,22160,134216,99,0.07,12,195.925,4.568,0.163,4.731,11462.439,2422.66,1.048,1.25,0.0,939,2.29,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.7,adaptive,16,22160,134216,109,0.08,10,195.925,5.443,0.206,5.649,11462.439,2029.1,1.048,1.25,0.0,939,2.29,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.7,adaptive,24,22160,134216,133,0.1,24,195.925,8.88,0.257,9.138,11462.439,1254.41,1.048,1.25,-0.0,939,2.29,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.7,adaptive,32,22160,134216,154,0.11,21,195.925,10.704,0.221,10.926,11462.439,1049.12,1.0466,1.11,0.1365,939,2.29,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.7,adaptive,48,22160,134216,208,0.15,54,195.925,15.548,0.339,15.887,11462.439,721.48,1.0358,0.07,1.028,901,-1.85,888,901,5.907,1.45,"[888, 900, 901]","[9, 4, 4]",17,
assembly_2,3,0.7,adaptive,64,22160,134216,411,0.31,203,195.925,18.535,1.075,19.61,11462.439,584.52,1.0358,0.07,0.0,901,-1.85,888,901,5.907,1.45,"[888, 900, 901]","[9, 4, 4]",17,
assembly_2,3,0.7,adaptive,96,22160,134216,791,0.59,380,195.925,16.004,4.647,20.651,11462.439,555.05,1.0358,0.07,0.0,901,-1.85,888,901,5.907,1.45,"[888, 900, 901]","[9, 4, 4]",17,
assembly_2,3,0.7,adaptive,128,22160,134216,1157,0.86,366,195.925,16.528,6.496,23.024,11462.439,497.85,1.0358,0.07,0.0,901,-1.85,888,901,5.907,1.45,"[888, 900, 901]","[9, 4, 4]",17,
assembly_2,3,0.7,adaptive,192,22160,134216,1876,1.4,719,195.925,19.337,11.838,31.175,11462.439,367.68,1.0358,0.07,0.0,901,-1.85,888,901,5.907,1.45,"[888, 900, 901]","[9, 4, 4]",17,
assembly_2,3,0.7,adaptive,256,22160,134216,2515,1.87,639,195.925,21.914,38.799,60.713,11462.439,188.8,1.0356,0.05,0.0197,900,-1.96,889,900,5.185,1.23,"[889, 900, 900]","[5, 8, 4]",17,
assembly_2,3,0.7,adaptive,384,22160,134216,3732,2.78,1217,195.925,30.353,48.491,78.845,11462.439,145.38,1.0356,0.05,0.0,900,-1.96,889,900,5.185,1.23,"[889, 900, 900]","[5, 8, 4]",17,
assembly_2,3,0.7,adaptive,512,22160,134216,4864,3.62,1132,195.925,34.876,102.334,137.21,11462.439,83.54,1.0356,0.05,0.0,900,-1.96,889,900,5.185,1.23,"[889, 900, 900]","[5, 8, 4]",17,
assembly_2,3,0.7,adaptive,768,22160,134216,6915,5.15,2051,195.925,44.485,437.239,481.724,11462.439,23.79,1.0356,0.05,-0.0,900,-1.96,889,900,5.185,1.23,"[889, 900, 900]","[5, 8, 4]",17,
assembly_2,3,0.7,adaptive,1024,22160,134216,8748,6.52,1833,195.925,55.363,968.667,1024.03,11462.439,11.19,1.0356,0.05,0.0,900,-1.96,889,900,5.185,1.23,"[889, 900, 900]","[5, 8, 4]",17,
assembly_2,3,0.7,adaptive,1536,22160,134216,12104,9.02,3356,195.925,83.959,722.685,806.643,11462.439,14.21,1.0356,0.05,0.0,900,-1.96,889,900,5.185,1.23,"[889, 900, 900]","[5, 8, 4]",17,
assembly_2,3,0.7,adaptive,2048,22160,134216,14889,11.09,2785,195.925,111.368,2298.19,2409.558,11462.439,4.76,1.0356,0.05,0.0,900,-1.96,889,900,5.185,1.23,"[889, 900, 900]","[5, 8, 4]",17,stop_perc_graph
