instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,full_solve_s,speedup_vs_full,objective,obj_vs_full_pct,d_obj_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,alpha_vs_width_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_reason
assembly_1,3,0.5,full_ref,,343,1105,1105,100.0,,0.165,0.0,1.878,1.878,1.878,1.0,1.232,0.0,,1112.81,0.0,0.0,1112.81,509.149,154.78,54.78,"[0.0, 1112.81, 1044.04]","[0, 7, 6]",13,full_ref
assembly_1,3,0.5,adaptive,1,343,1105,37,3.35,37,0.165,0.008,0.202,0.209,1.878,8.97,0.8576,-30.39,,747.12,-32.86,680.33,747.12,28.25,9.29,3.92,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,
assembly_1,3,0.5,adaptive,2,343,1105,42,3.8,5,0.165,0.015,0.371,0.386,1.878,4.87,0.8576,-30.39,0.0,747.12,-32.86,680.33,747.12,28.25,9.29,3.92,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,
assembly_1,3,0.5,adaptive,3,343,1105,48,4.34,6,0.165,0.021,0.252,0.274,1.878,6.86,0.8576,-30.39,-0.0,747.12,-32.86,680.33,747.12,28.25,9.29,3.92,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,
assembly_1,3,0.5,adaptive,4,343,1105,54,4.89,6,0.165,0.027,0.45,0.477,1.878,3.94,0.8576,-30.39,0.0,747.12,-32.86,680.33,747.12,28.25,9.29,3.92,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,
assembly_1,3,0.5,adaptive,6,343,1105,64,5.79,10,0.165,0.04,0.095,0.136,1.878,13.86,0.895,-27.36,-4.3577,826.04,-25.77,650.48,826.04,76.698,24.42,14.9,"[826.04, 650.48, 680.33]","[4, 5, 4]",13,
assembly_1,3,0.5,adaptive,8,343,1105,73,6.61,9,0.165,0.05,0.101,0.151,1.878,12.44,0.895,-27.36,0.0,826.04,-25.77,650.48,826.04,76.698,24.42,14.9,"[826.04, 650.48, 680.33]","[4, 5, 4]",13,
assembly_1,3,0.5,adaptive,12,343,1105,83,7.51,10,0.165,0.07,0.092,0.162,1.878,11.62,0.895,-27.36,-0.0,826.04,-25.77,650.48,826.04,76.698,24.42,14.9,"[826.04, 650.48, 680.33]","[4, 5, 4]",13,
assembly_1,3,0.5,adaptive,16,343,1105,89,8.05,6,0.165,0.093,0.075,0.168,1.878,11.16,1.6674,35.34,-86.3121,2156.85,93.82,0.0,2156.85,1016.749,300.0,200.0,"[2156.85, 0.0, 0.0]",[13],13,
assembly_1,3,0.5,adaptive,24,343,1105,150,13.57,61,0.165,0.1,0.049,0.149,1.878,12.58,0.9334,-24.23,44.0185,892.48,-19.8,584.04,892.48,128.847,42.9,24.14,"[584.04, 892.48, 680.33]","[3, 6, 4]",13,stop_perc_graph
