instance,num_phases,w_balanced,strategy,weight_attr,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,digraph_build_s,build_s,solve_s,elapsed_s,speedup_vs_full,objective,obj_vs_full_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total
assembly_1,3,0.5,full_mip,—,,343,1105,1105,100.0,0.309,0.0,46.232,46.232,1.0,0.8568,0.0,747.12,0.0,680.33,747.12,28.25,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13
assembly_1,3,0.5,subgraph_mip,edge_weight,1,343,1105,13,1.18,0.309,0.003,0.076,0.079,583.2,0.8752,2.16,792,6.01,584.04,792,95.505,28.93,"[584.04, 792, 780.81]","[3, 5, 5]",13
assembly_1,3,0.5,subgraph_mip,time_balanced_weight,1,343,1105,13,1.18,0.309,0.002,0.09,0.092,500.8,1.0052,17.32,731.84,-2.05,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.5,subgraph_mip,combined,1,343,1105,26,2.35,0.309,0.005,0.138,0.143,323.62,0.8752,2.16,792,6.01,584.04,792,95.505,28.93,"[584.04, 792, 780.81]","[3, 5, 5]",13
assembly_1,3,0.5,subgraph_mip,blended,1,343,1105,13,1.18,0.309,0.004,0.034,0.038,1231.72,0.868,1.32,747.12,-0.0,689.75,747.12,23.433,7.98,"[747.12, 689.75, 719.98]","[4, 4, 5]",13
assembly_1,3,0.5,subgraph_mip,blended_union,1,343,1105,37,3.35,0.309,0.029,0.618,0.647,71.5,0.8576,0.1,747.12,0.0,680.33,747.12,28.25,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13
assembly_1,3,0.5,subgraph_mip,diverse,1,343,1105,13,1.18,0.309,0.011,0.026,0.037,1237.19,0.868,1.32,747.12,-0.0,689.75,747.12,23.433,7.98,"[747.12, 689.75, 719.98]","[4, 4, 5]",13
assembly_1,3,0.5,subgraph_mip,edge_weight,2,343,1105,15,1.36,0.309,0.008,0.088,0.095,484.93,0.8732,1.92,788.33,5.52,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13
assembly_1,3,0.5,subgraph_mip,time_balanced_weight,2,343,1105,15,1.36,0.309,0.014,0.041,0.055,842.62,1.0004,16.76,731.84,-2.05,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.5,subgraph_mip,combined,2,343,1105,30,2.71,0.309,0.019,0.133,0.152,303.78,0.8732,1.92,788.33,5.52,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13
