instance,num_phases,w_balanced,strategy,weight_attr,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,digraph_build_s,build_s,solve_s,elapsed_s,speedup_vs_full,objective,obj_vs_full_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total
assembly_2,3,1.0,full_mip,—,,22160,134216,134216,100.0,177.468,0.0,117585.188,117585.188,1.0,1.0145,0.0,898,0.0,893,898,2.357,0.56,"[898, 898, 893]","[5, 9, 3]",17
assembly_2,3,1.0,subgraph_mip,edge_weight,1,22160,134216,17,0.01,177.468,0.026,0.013,0.039,2987667.52,1.1659,14.92,1032,14.92,771,1032,106.803,29.12,"[1032, 771, 886]","[6, 4, 7]",17
assembly_2,3,1.0,subgraph_mip,time_balanced_weight,1,22160,134216,17,0.01,177.468,0.058,0.014,0.072,1630487.79,1.0484,3.34,928,3.34,857,928,29.488,7.92,"[904, 857, 928]","[4, 9, 4]",17
assembly_2,3,1.0,subgraph_mip,combined,1,22160,134216,33,0.02,177.468,0.051,0.07,0.12,976141.91,1.0484,3.34,928,3.34,857,928,29.488,7.92,"[904, 857, 928]","[4, 9, 4]",17
assembly_2,3,1.0,subgraph_mip,edge_weight,2,22160,134216,19,0.01,177.468,0.084,0.013,0.097,1214874.93,1.1659,14.92,1032,14.92,710,1032,136.251,35.92,"[1032, 947, 710]","[6, 7, 4]",17
assembly_2,3,1.0,subgraph_mip,time_balanced_weight,2,22160,134216,33,0.02,177.468,0.163,0.101,0.264,445923.05,1.0484,3.34,928,3.34,857,928,29.488,7.92,"[904, 857, 928]","[4, 9, 4]",17
assembly_2,3,1.0,subgraph_mip,combined,2,22160,134216,51,0.04,177.468,0.253,0.061,0.314,374633.5,1.0484,3.34,928,3.34,857,928,29.488,7.92,"[904, 857, 928]","[4, 9, 4]",17
assembly_2,3,1.0,subgraph_mip,edge_weight,5,22160,134216,26,0.02,177.468,0.265,0.074,0.339,346818.35,1.1659,14.92,1032,14.92,785,1032,102.295,27.56,"[1032, 872, 785]","[6, 5, 6]",17
assembly_2,3,1.0,subgraph_mip,time_balanced_weight,5,22160,134216,59,0.04,177.468,0.501,0.074,0.575,204478.33,1.0484,3.34,928,3.34,857,928,29.488,7.92,"[904, 857, 928]","[4, 9, 4]",17
assembly_2,3,1.0,subgraph_mip,combined,5,22160,134216,84,0.06,177.468,0.703,0.093,0.796,147775.68,1.0484,3.34,928,3.34,857,928,29.488,7.92,"[904, 857, 928]","[4, 9, 4]",17
assembly_2,3,1.0,subgraph_mip,edge_weight,10,22160,134216,28,0.02,177.468,0.547,0.115,0.662,177750.36,1.1659,14.92,1032,14.92,771,1032,106.803,29.12,"[1032, 771, 886]","[6, 4, 7]",17
assembly_2,3,1.0,subgraph_mip,time_balanced_weight,10,22160,134216,73,0.05,177.468,1.133,0.106,1.239,94900.6,1.0484,3.34,928,3.34,857,928,29.488,7.92,"[904, 857, 928]","[4, 9, 4]",17
assembly_2,3,1.0,subgraph_mip,combined,10,22160,134216,100,0.07,177.468,1.641,0.134,1.775,66251.01,1.0484,3.34,928,3.34,857,928,29.488,7.92,"[904, 857, 928]","[4, 9, 4]",17
assembly_2,3,1.0,subgraph_mip,edge_weight,20,22160,134216,35,0.03,177.468,1.115,0.114,1.228,95727.58,1.1659,14.92,1032,14.92,771,1032,106.803,29.12,"[1032, 771, 886]","[6, 4, 7]",17
assembly_2,3,1.0,subgraph_mip,time_balanced_weight,20,22160,134216,114,0.08,177.468,2.287,0.21,2.497,47094.9,1.0484,3.34,928,3.34,857,928,29.488,7.92,"[904, 857, 928]","[4, 9, 4]",17
assembly_2,3,1.0,subgraph_mip,combined,20,22160,134216,148,0.11,177.468,3.374,0.208,3.582,32825.86,1.0484,3.34,928,3.34,857,928,29.488,7.92,"[904, 857, 928]","[4, 9, 4]",17
assembly_2,3,1.0,subgraph_mip,edge_weight,50,22160,134216,61,0.05,177.468,2.828,0.081,2.909,40415.12,1.0609,4.57,939,4.57,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17
assembly_2,3,1.0,subgraph_mip,time_balanced_weight,50,22160,134216,165,0.12,177.468,4.466,0.233,4.698,25027.39,1.0337,1.89,915,1.89,860,915,25.695,6.14,"[915, 914, 860]","[5, 8, 4]",17
assembly_2,3,1.0,subgraph_mip,combined,50,22160,134216,224,0.17,177.468,7.254,0.406,7.66,15349.74,1.0337,1.89,915,1.89,860,915,25.695,6.14,"[915, 914, 860]","[5, 8, 4]",17
assembly_2,3,1.0,subgraph_mip,edge_weight,100,22160,134216,74,0.06,177.468,5.446,0.105,5.551,21182.18,1.0609,4.57,939,4.57,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17
assembly_2,3,1.0,subgraph_mip,time_balanced_weight,100,22160,134216,252,0.19,177.468,10.144,0.518,10.661,11028.99,1.0337,1.89,915,1.89,860,915,25.695,6.14,"[915, 914, 860]","[5, 8, 4]",17
assembly_2,3,1.0,subgraph_mip,combined,100,22160,134216,324,0.24,177.468,15.6,0.839,16.439,7152.67,1.0337,1.89,915,1.89,860,915,25.695,6.14,"[915, 914, 860]","[5, 8, 4]",17
assembly_2,3,1.0,subgraph_mip,edge_weight,200,22160,134216,87,0.06,177.468,10.893,0.106,10.998,10691.19,1.0609,4.57,939,4.57,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17
assembly_2,3,1.0,subgraph_mip,time_balanced_weight,200,22160,134216,436,0.32,177.468,17.856,1.305,19.161,6136.69,1.0247,1.0,907,1.0,878,907,13.021,3.24,"[904, 907, 878]","[4, 7, 6]",17
assembly_2,3,1.0,subgraph_mip,combined,200,22160,134216,507,0.38,177.468,28.78,1.953,30.733,3826.06,1.0247,1.0,907,1.0,878,907,13.021,3.24,"[904, 907, 878]","[4, 7, 6]",17
assembly_2,3,1.0,subgraph_mip,edge_weight,500,22160,134216,110,0.08,177.468,27.504,0.174,27.677,4248.45,1.0609,4.57,939,4.57,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17
assembly_2,3,1.0,subgraph_mip,time_balanced_weight,500,22160,134216,649,0.48,177.468,33.548,3.178,36.726,3201.7,1.0247,1.0,907,1.0,878,907,13.021,3.24,"[904, 907, 878]","[4, 7, 6]",17
assembly_2,3,1.0,subgraph_mip,combined,500,22160,134216,739,0.55,177.468,61.566,5.2,66.766,1761.15,1.0247,1.0,907,1.0,878,907,13.021,3.24,"[904, 907, 878]","[4, 7, 6]",17
assembly_2,3,1.0,subgraph_mip,edge_weight,1000,22160,134216,139,0.1,177.468,55.548,0.166,55.714,2110.51,1.0609,4.57,939,4.57,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17
assembly_2,3,1.0,subgraph_mip,time_balanced_weight,1000,22160,134216,832,0.62,177.468,73.203,4.944,78.147,1504.67,1.0213,0.67,904,0.67,884,904,8.807,2.23,"[904, 901, 884]","[4, 3, 10]",17
assembly_2,3,1.0,subgraph_mip,combined,1000,22160,134216,945,0.7,177.468,129.101,9.983,139.084,845.42,1.0213,0.67,904,0.67,884,904,8.807,2.23,"[904, 901, 884]","[4, 3, 10]",17
assembly_2,3,1.0,subgraph_mip,edge_weight,2000,22160,134216,165,0.12,177.468,113.344,0.262,113.606,1035.03,1.0609,4.57,939,4.57,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17
assembly_2,3,1.0,subgraph_mip,time_balanced_weight,2000,22160,134216,1282,0.96,177.468,107.571,7.844,115.415,1018.81,1.0213,0.67,904,0.67,884,904,8.807,2.23,"[904, 901, 884]","[4, 3, 10]",17
assembly_2,3,1.0,subgraph_mip,combined,2000,22160,134216,1400,1.04,177.468,221.148,13.22,234.368,501.71,1.0213,0.67,904,0.67,884,904,8.807,2.23,"[904, 901, 884]","[4, 3, 10]",17
assembly_2,3,1.0,subgraph_mip,edge_weight,5000,22160,134216,230,0.17,177.468,290.29,0.611,290.901,404.21,1.0575,4.23,936,4.23,864,936,29.848,8.03,"[864, 889, 936]","[4, 6, 7]",17
assembly_2,3,1.0,subgraph_mip,time_balanced_weight,5000,22160,134216,1891,1.41,177.468,318.622,40.005,358.628,327.88,1.0213,0.67,904,0.67,885,904,8.179,2.12,"[904, 900, 885]","[4, 9, 4]",17
assembly_2,3,1.0,subgraph_mip,combined,5000,22160,134216,2055,1.53,177.468,611.38,29.257,640.637,183.54,1.0213,0.67,904,0.67,884,904,8.807,2.23,"[904, 901, 884]","[4, 3, 10]",17
